[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\ACR-83-1_20200721.gcd
Output Date	7/24/2020
Output Time	10:42:11 AM

[File Information]
Type	Data File
Generated	7/24/2020 3:51:39 AM
Generated by	Admin
Modified	7/24/2020 4:42:05 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	7/24/2020 3:58:28 AM
Type	Unknown
Level	1
Sample Name	ACR-83-1_20200721
Sample ID	ACR-83-1_20200721
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	18
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\ACR-83-1_20200721.gcd
Method File	C:\GCsolution\Data\Pfleger\Jonathan\20190412_Stabilwax_shortened_bake.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\gc_07-23-2020.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	83
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.838	1.736	1.928	777060718	445049457	0.02	0.00000	 V 			0.000	27857.874	0.000	1.152	0.000	0.000
2	1.962	1.928	2.049	128659962	72934999	0.02	0.00000	 V 			0.068	29875.399	0.000	1.301	2.783	0.000
3	2.086	2.049	5.069	6019840	2443669	0.02	0.00000	SV 			0.135	23155.331	0.000	0.000	2.483	2.000
4	3.365	3.328	3.454	2310	403	0.06	0.00000	T  	15	Xylose	0.831	0.000	0.000	0.000	0.000	6.151
5	3.479	3.454	3.902	4384	341	0.13	0.00000	TV 	15	Xylose	0.893	0.000	0.000	0.000	0.000	1.075
6	4.010	3.902	4.555	47046	5783	0.08	0.00000	TV 	23	Lactic Acid	1.182	7919.170	0.000	2.722	0.000	1.323
7	4.779	4.555	5.045	2846	421	0.07	0.00000	TV 	1	Acetate_Sugars	1.600	13127.897	0.000	1.699	4.444	1.354
8	5.693	5.591	6.319	23873	1989	0.12	0.00000	   	3	Propionate_Sugars	2.098	6815.440	0.000	3.135	4.143	1.311
9	10.306	10.062	10.426	38078	2868	0.13	0.00000	   	25	Lactic Acid	4.608	0.000	0.000	0.000	0.000	2.196
10	10.603	10.426	10.673	65001	5487	0.12	0.00000	 V 	13	Sugars	4.769	0.000	0.000	0.000	0.000	1.035
11	10.868	10.673	11.275	613865	24019	0.26	0.00000	 V 	13	Sugars	4.914	2930.471	0.000	0.000	0.000	1.030
12	11.543	11.275	12.377	2077531	70236	0.30	0.00000	 V 	14	Sugars	5.281	3306.743	0.000	0.000	0.843	1.075
13	13.116	12.377	16.693	539315648	27031723	0.20	0.00000	SV 			6.137	9247.711	0.000	0.529	2.338	1.162
14	14.101	13.996	14.122	6252	1499	0.04	0.00000	T  			6.673	0.000	0.000	0.000	0.000	1.087
15	14.176	14.122	14.290	17430	2910	0.06	0.00000	TV 			6.713	0.000	0.000	0.000	0.000	1.006
16	14.332	14.290	14.444	4594	780	0.06	0.00000	TV 			6.798	0.000	0.000	0.000	0.000	1.013
17	14.600	14.500	14.948	53666	7481	0.07	0.00000	T  			6.944	136241.735	0.000	2.074	0.000	1.021
18	15.027	14.995	15.204	2136	232	0.09	0.00000	T  			7.177	65627.565	0.000	3.022	2.181	1.033
19	15.372	15.289	15.457	7348	1282	0.06	0.00000	T  			7.364	155738.619	0.000	0.000	1.772	1.026
20	15.485	15.457	15.550	2776	621	0.04	0.00000	TV 			7.426	0.000	0.000	0.000	0.000	1.008
21	15.624	15.550	15.788	5891	915	0.06	0.00000	TV 			7.501	135731.223	0.000	0.000	0.000	1.010
22	16.186	16.124	16.339	1193	229	0.05	0.00000	T  			7.807	247895.534	0.000	1.579	3.761	1.041
23	17.358	17.286	17.846	77089	22616	0.03	0.00000	S  			8.445	876070.323	0.000	1.917	11.510	1.082
24	17.917	17.846	17.967	1188	233	0.05	0.00000	   			8.749	0.000	0.000	0.000	0.000	1.036
25	18.004	17.967	18.047	1168	329	0.04	0.00000	 V 			8.796	0.000	0.000	0.000	0.000	1.005
26	18.084	18.047	18.140	1246	359	0.03	0.00000	 V 			8.840	515513.373	0.000	0.000	0.000	1.005
27	18.204	18.140	18.299	5883	1417	0.04	0.00000	 V 			8.906	542959.007	0.000	0.000	1.209	1.007
28	18.488	18.420	18.569	1081	209	0.05	0.00000	 V 			9.060	314064.781	0.000	0.000	2.466	1.017
29	18.734	18.569	18.817	1856	281	0.07	0.00000	 V 			9.194	182736.206	0.000	0.000	1.603	1.015
30	18.921	18.817	18.989	3023	546	0.06	0.00000	   			9.295	0.000	0.000	0.000	0.000	1.011
31	19.023	18.989	19.115	1678	379	0.04	0.00000	 V 			9.351	0.000	0.000	0.000	0.000	1.006
32	19.420	19.307	19.465	1492	309	0.05	0.00000	   			9.567	0.000	0.000	0.000	0.000	1.023
33	19.686	19.633	21.645	82615	33139	0.02	0.00000	S  			9.712	1260805.246	0.000	1.941	0.000	1.015
34	20.060	19.983	20.156	1505	300	0.05	0.00000	T  			9.915	333295.168	0.000	1.156	3.579	1.021
35	20.400	20.333	20.557	8167	1546	0.05	0.00000	T  			10.100	403554.037	0.000	1.722	2.549	1.019
36	21.337	21.164	21.383	1890	316	0.06	0.00000	T  			10.610	419192.988	0.000	0.000	7.220	1.050
37	21.697	21.645	21.869	97604	38836	0.03	0.00000	   			10.806	1905087.974	0.000	1.280	3.713	1.018
38	22.024	21.948	22.069	1303	270	0.05	0.00000	 V 			10.984	0.000	0.000	0.000	0.000	1.016
39	22.343	22.139	22.372	3283	374	0.09	0.00000	   			11.157	0.000	0.000	0.000	0.000	1.016
40	22.423	22.372	22.461	1391	316	0.04	0.00000	 V 			11.201	0.000	0.000	0.000	0.000	1.004
41	22.721	22.639	22.765	1147	221	0.05	0.00000	 V 			11.363	318558.361	0.000	0.000	0.000	1.014
42	22.873	22.816	22.900	1296	396	0.03	0.00000	   			11.446	0.000	0.000	0.000	0.000	1.007
43	23.157	22.974	23.189	4272	411	0.10	0.00000	 V 			11.600	0.000	0.000	0.000	0.000	1.013
44	23.278	23.189	23.329	2926	474	0.06	0.00000	 V 			11.666	0.000	0.000	0.000	0.000	1.006
45	23.486	23.343	23.590	88150	34300	0.03	0.00000	   			11.780	2300117.759	0.000	1.301	0.000	1.010
46	23.614	23.590	23.647	2255	733	0.03	0.00000	 V 			11.849	0.000	0.000	0.000	0.000	1.006
47	23.673	23.647	23.707	1287	409	0.03	0.00000	 V 			11.881	0.000	0.000	0.000	0.000	1.003
48	23.903	23.707	23.931	1973	142	0.14	0.00000	 V 			12.006	141403.674	0.000	0.000	0.000	1.011
49	24.327	24.029	24.384	26069	7457	0.03	0.00000	   			12.237	2341853.161	0.000	0.641	2.675	1.019
50	24.610	24.384	24.650	5894	1003	0.06	0.00000	 V 			12.391	2685115.548	0.000	0.955	4.592	1.013
51	24.724	24.659	24.748	1479	289	0.05	0.00000	   			12.453	829831.015	0.000	0.000	1.359	1.005
52	25.133	25.009	25.210	102880	43958	0.02	0.00000	   			12.675	2758561.481	0.000	1.121	4.841	1.018
