[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\ACR-83_20200723.gcd
Output Date	7/24/2020
Output Time	10:42:06 AM

[File Information]
Type	Data File
Generated	7/23/2020 6:53:29 PM
Generated by	Admin
Modified	7/23/2020 7:43:59 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	7/23/2020 7:00:21 PM
Type	Unknown
Level	1
Sample Name	ACR-83_20200723
Sample ID	ACR-83_20200723
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	9
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\ACR-83_20200723.gcd
Method File	C:\GCsolution\Data\Pfleger\Jonathan\20190412_Stabilwax_shortened_bake.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\gc_07-23-2020.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	87
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.713	1.690	1.736	1073	797	0.01	0.00000	   			0.000	37163.413	0.000	0.000	0.000	0.000
2	1.838	1.736	1.928	777809060	447824532	0.02	0.00000	 V 			0.073	28220.685	0.000	1.148	3.153	0.000
3	1.962	1.928	2.054	128849476	73852190	0.02	0.00000	 V 			0.145	30532.252	0.000	1.295	2.816	1.999
4	2.087	2.054	5.110	5813128	2436188	0.02	0.00000	SV 			0.218	23341.209	0.000	0.000	2.507	1.500
5	4.006	3.916	4.620	66053	8554	0.08	0.00000	T  	23	Lactic Acid	1.338	9037.022	0.000	2.833	17.242	6.135
6	4.782	4.620	5.096	4320	596	0.07	0.00000	TV 	1	Acetate_Sugars	1.791	12349.946	0.000	1.651	4.569	1.339
7	5.675	5.563	6.282	35020	3110	0.11	0.00000	   	3	Propionate_Sugars	2.313	7824.645	0.000	3.378	4.176	1.291
8	10.317	10.080	10.444	41567	3088	0.13	0.00000	   	25	Lactic Acid	5.022	0.000	0.000	0.000	0.000	2.172
9	10.616	10.444	10.682	65853	5740	0.11	0.00000	 V 	13	Sugars	5.197	0.000	0.000	0.000	0.000	1.035
10	10.874	10.682	11.284	624782	25289	0.25	0.00000	 V 	13	Sugars	5.348	3294.165	0.000	0.000	0.000	1.029
11	11.536	11.284	12.381	2056988	72518	0.28	0.00000	 V 	14	Sugars	5.734	3553.012	0.000	0.000	0.866	1.072
12	13.115	12.381	16.702	526858893	26596514	0.20	0.00000	SV 			6.655	9319.181	0.000	0.530	2.404	1.161
13	14.115	13.991	14.136	7911	1669	0.05	0.00000	T  			7.239	0.000	0.000	0.000	0.000	1.088
14	14.184	14.136	14.299	17824	3014	0.06	0.00000	TV 			7.280	0.000	0.000	0.000	0.000	1.006
15	14.327	14.299	14.467	4724	779	0.06	0.00000	TV 			7.363	0.000	0.000	0.000	0.000	1.011
16	14.604	14.500	14.780	43291	6923	0.06	0.00000	T  			7.524	145968.927	0.000	0.000	0.000	1.022
17	15.027	14.780	15.214	4409	161	0.27	0.00000	TV 			7.772	58582.551	0.000	4.395	2.118	1.033
18	15.378	15.298	15.466	7424	1300	0.06	0.00000	T  			7.976	164163.556	0.000	0.000	1.757	1.026
19	15.489	15.466	15.554	2631	613	0.04	0.00000	TV 			8.041	0.000	0.000	0.000	0.000	1.008
20	15.632	15.554	15.792	5853	938	0.06	0.00000	TV 			8.125	142267.470	0.000	0.000	0.000	1.010
21	16.197	16.124	16.362	1156	228	0.05	0.00000	T  			8.454	252715.467	0.000	1.313	3.839	1.041
22	17.364	17.304	17.612	71863	21547	0.03	0.00000	   			9.136	866078.486	0.000	1.894	11.506	1.081
23	17.688	17.612	17.785	2326	389	0.06	0.00000	 V 			9.325	0.000	0.000	0.000	0.000	1.021
