[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\EV-2_20200721.gcd
Output Date	7/24/2020
Output Time	10:42:05 AM

[File Information]
Type	Data File
Generated	7/23/2020 4:22:03 PM
Generated by	Admin
Modified	7/23/2020 5:12:29 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	7/23/2020 4:28:51 PM
Type	Unknown
Level	1
Sample Name	EV-2_20200721
Sample ID	EV-2_20200721
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	6
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\EV-2_20200721.gcd
Method File	C:\GCsolution\Data\Pfleger\Jonathan\20190412_Stabilwax_shortened_bake.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\gc_07-23-2020.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	84
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.838	1.736	1.928	760224161	439954481	0.02	0.00000	 V 			0.000	28547.186	0.000	1.144	0.000	0.000
2	1.962	1.928	2.054	126119792	72273938	0.02	0.00000	 V 			0.068	30566.637	0.000	1.294	2.825	0.000
3	2.087	2.054	5.181	5852233	2390455	0.02	0.00000	SV 			0.136	23291.767	0.000	0.000	2.508	2.000
4	3.363	3.328	3.454	1766	312	0.06	0.00000	T  	15	Xylose	0.830	0.000	0.000	0.000	0.000	6.122
5	3.482	3.454	3.902	2771	248	0.11	0.00000	TV 	15	Xylose	0.895	0.000	0.000	0.000	0.000	1.078
6	3.999	3.916	4.602	87766	12113	0.07	0.00000	T  	23	Lactic Acid	1.176	10202.002	0.000	2.838	0.000	1.314
7	4.783	4.602	5.101	3896	581	0.07	0.00000	TV 	1	Acetate_Sugars	1.603	13268.138	0.000	1.653	4.847	1.363
8	5.663	5.568	6.441	44329	3973	0.11	0.00000	   	3	Propionate_Sugars	2.082	8448.504	0.000	3.636	4.278	1.299
9	10.318	10.076	10.445	41061	3063	0.13	0.00000	   	25	Lactic Acid	4.615	0.000	0.000	0.000	0.000	2.217
10	10.614	10.445	10.687	68040	5816	0.12	0.00000	 V 	13	Sugars	4.776	0.000	0.000	0.000	0.000	1.035
11	10.875	10.687	11.285	641039	25414	0.25	0.00000	 V 	13	Sugars	4.918	3017.252	0.000	0.000	0.000	1.030
12	11.554	11.285	12.381	2136291	72703	0.29	0.00000	 V 	14	Sugars	5.287	3310.684	0.000	0.000	0.854	1.075
13	13.131	12.381	16.707	551153750	27259417	0.20	0.00000	SV 			6.145	9084.805	0.000	0.529	2.334	1.162
14	14.118	14.015	14.140	7303	1648	0.04	0.00000	T  			6.683	0.000	0.000	0.000	0.000	1.087
15	14.186	14.140	14.294	16793	3045	0.06	0.00000	TV 			6.719	0.000	0.000	0.000	0.000	1.005
16	14.330	14.294	14.463	4694	718	0.07	0.00000	TV 			6.798	0.000	0.000	0.000	0.000	1.012
17	14.610	14.505	14.780	44883	7122	0.06	0.00000	T  			6.950	137355.633	0.000	0.000	0.000	1.022
18	15.041	14.780	15.219	3582	148	0.24	0.00000	TV 			7.185	61794.693	0.000	4.066	2.165	1.034
19	15.381	15.298	15.466	7619	1320	0.06	0.00000	T  			7.370	150773.887	0.000	0.000	1.701	1.026
20	15.494	15.466	15.564	2958	630	0.05	0.00000	TV 			7.431	0.000	0.000	0.000	0.000	1.008
21	15.636	15.564	15.783	6053	955	0.06	0.00000	TV 			7.509	130612.817	0.000	0.000	0.000	1.010
22	16.197	16.119	16.339	1333	238	0.06	0.00000	T  			7.814	204827.242	0.000	1.320	3.554	1.041
23	17.366	17.300	17.613	73508	22344	0.03	0.00000	   			8.450	885677.354	0.000	1.865	10.811	1.081
24	17.688	17.613	17.781	2230	393	0.06	0.00000	 V 			8.626	240950.902	0.000	0.000	2.965	1.021
25	17.922	17.851	17.972	1149	222	0.05	0.00000	   			8.753	0.000	0.000	0.000	0.000	1.015
26	18.013	17.972	18.056	1139	321	0.04	0.00000	 V 			8.802	391416.534	0.000	0.000	0.000	1.006
27	18.094	18.056	18.149	1028	334	0.03	0.00000	 V 			8.846	690102.460	0.000	0.000	0.806	1.005
28	18.214	18.149	18.303	5525	1441	0.04	0.00000	   			8.912	569686.174	0.000	0.000	1.312	1.007
29	18.741	18.597	18.826	2077	310	0.07	0.00000	   			9.198	146277.096	0.000	0.786	3.610	1.032
30	18.929	18.826	19.003	3589	621	0.06	0.00000	   			9.300	0.000	0.000	0.000	0.000	1.011
31	19.031	19.003	19.115	1630	389	0.04	0.00000	 V 			9.356	0.000	0.000	0.000	0.000	1.006
32	19.168	19.115	19.297	1899	311	0.06	0.00000	 V 			9.431	202002.857	0.000	0.000	0.000	1.008
33	19.427	19.311	19.484	2118	384	0.06	0.00000	   			9.571	0.000	0.000	0.000	0.000	1.015
34	19.695	19.642	21.649	72998	32483	0.02	0.00000	S  			9.717	1271094.535	0.000	1.886	0.000	1.015
35	20.077	19.993	20.160	1682	356	0.05	0.00000	T  			9.925	385759.013	0.000	0.980	3.845	1.021
36	20.405	20.338	20.562	8737	1777	0.05	0.00000	T  			10.104	516692.915	0.000	1.768	2.715	1.018
37	20.761	20.702	20.833	1178	278	0.04	0.00000	TV 			10.298	493663.320	0.000	0.000	3.081	1.019
38	21.347	21.173	21.388	2598	433	0.06	0.00000	T  			10.617	332019.338	0.000	0.000	4.410	1.031
39	21.703	21.649	21.957	89553	36076	0.02	0.00000	S  			10.810	1949776.170	0.000	1.269	3.391	1.018
40	22.024	21.957	22.069	1564	355	0.04	0.00000	 V 			10.985	0.000	0.000	0.000	0.000	1.016
41	22.275	22.148	22.293	1809	271	0.07	0.00000	   			11.121	0.000	0.000	0.000	0.000	1.012
42	22.353	22.293	22.382	1538	346	0.04	0.00000	 V 			11.164	0.000	0.000	0.000	0.000	1.004
43	22.430	22.382	22.471	1225	321	0.04	0.00000	 V 			11.206	0.000	0.000	0.000	0.000	1.004
