[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\MA-ACR-1_20200721.gcd
Output Date	7/24/2020
Output Time	10:42:13 AM

[File Information]
Type	Data File
Generated	7/24/2020 8:04:10 AM
Generated by	Admin
Modified	7/24/2020 8:54:36 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	7/24/2020 8:10:59 AM
Type	Unknown
Level	1
Sample Name	MA-ACR-1_20200721
Sample ID	MA-ACR-1_20200721
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	23
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\MA-ACR-1_20200721.gcd
Method File	C:\GCsolution\Data\Pfleger\Jonathan\20190412_Stabilwax_shortened_bake.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\gc_07-23-2020.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	81
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.838	1.736	1.928	756863574	434014464	0.02	0.00000	 V 			0.000	28035.350	0.000	1.152	0.000	0.000
2	1.962	1.928	2.049	124752501	70768174	0.02	0.00000	 V 			0.067	29941.437	0.000	1.302	2.785	0.000
3	2.086	2.049	5.017	5745542	2372243	0.02	0.00000	SV 			0.135	23288.730	0.000	0.000	2.485	2.000
4	3.363	3.328	3.454	2271	398	0.06	0.00000	T  	15	Xylose	0.830	0.000	0.000	0.000	0.000	6.155
5	3.478	3.454	3.892	5002	338	0.15	0.00000	TV 	15	Xylose	0.893	0.000	0.000	0.000	0.000	1.075
6	4.000	3.892	4.574	68957	8555	0.08	0.00000	TV 	23	Lactic Acid	1.177	8541.264	0.000	2.929	0.000	1.318
7	4.779	4.639	5.008	4228	574	0.07	0.00000	TV 	1	Acetate_Sugars	1.600	12180.784	0.000	0.000	4.511	1.360
8	10.309	10.066	10.421	39587	2966	0.13	0.00000	   	25	Lactic Acid	4.610	0.000	0.000	0.000	0.000	2.880
9	10.596	10.421	10.664	66538	5742	0.12	0.00000	 V 	13	Sugars	4.766	0.000	0.000	0.000	0.000	1.034
10	10.865	10.664	11.270	642443	24836	0.26	0.00000	 V 	13	Sugars	4.912	2740.243	0.000	0.000	0.000	1.031
11	11.528	11.270	12.371	2169536	71574	0.30	0.00000	 V 	14	Sugars	5.273	3136.965	0.000	0.000	0.804	1.073
12	13.121	12.371	16.767	552216172	27248711	0.20	0.00000	SV 			6.140	9004.707	0.000	0.528	2.321	1.164
13	14.172	13.996	14.290	25041	3110	0.08	0.00000	T  			6.712	67333.147	0.000	0.000	2.732	1.093
14	14.322	14.290	14.453	4753	742	0.06	0.00000	TV 			6.793	0.000	0.000	0.000	0.000	1.012
15	14.600	14.499	14.957	53940	7263	0.07	0.00000	T  			6.945	133747.503	0.000	2.124	0.000	1.022
16	15.022	14.980	15.214	2755	262	0.11	0.00000	T  			7.174	51969.833	0.000	2.574	1.999	1.033
17	15.370	15.284	15.456	7671	1302	0.06	0.00000	T  			7.364	144714.643	0.000	0.000	1.642	1.026
18	15.480	15.456	15.545	2817	629	0.04	0.00000	TV 			7.423	0.000	0.000	0.000	0.000	1.008
19	15.623	15.545	15.792	6320	969	0.07	0.00000	TV 			7.501	135303.701	0.000	0.000	0.000	1.010
20	16.189	16.128	16.343	1085	219	0.05	0.00000	T  			7.809	265626.818	0.000	1.567	3.843	1.041
21	17.355	17.290	17.841	76469	22264	0.03	0.00000	S  			8.444	859890.171	0.000	1.918	11.656	1.081
22	17.917	17.846	17.962	1027	204	0.05	0.00000	   			8.750	0.000	0.000	0.000	0.000	1.036
23	18.081	18.041	18.140	1039	330	0.03	0.00000	 V 			8.839	685078.623	0.000	0.000	0.000	1.010
24	18.202	18.140	18.294	5275	1362	0.04	0.00000	   			8.904	593002.258	0.000	0.000	1.330	1.007
25	18.730	18.602	18.816	1716	284	0.06	0.00000	   			9.192	204995.638	0.000	0.800	4.072	1.032
26	18.918	18.816	18.975	3021	581	0.05	0.00000	   			9.294	0.000	0.000	0.000	0.000	1.011
27	19.021	18.975	19.105	1904	397	0.05	0.00000	 V 			9.350	0.000	0.000	0.000	0.000	1.006
28	19.414	19.306	19.474	1568	298	0.05	0.00000	   			9.564	0.000	0.000	0.000	0.000	1.023
29	19.683	19.628	21.485	98069	32758	0.03	0.00000	S  			9.711	1247208.820	0.000	2.006	0.000	1.015
30	20.051	19.988	20.179	1469	297	0.05	0.00000	T  			9.911	358542.513	0.000	1.482	3.610	1.021
31	20.397	20.328	20.561	8396	1549	0.05	0.00000	TV 			10.099	379341.799	0.000	1.717	2.609	1.019
32	21.338	21.168	21.378	1920	324	0.06	0.00000	T  			10.611	323511.968	0.000	0.000	6.675	1.051
33	21.695	21.490	21.873	94850	36114	0.03	0.00000	   			10.806	1831457.080	0.000	1.299	3.348	1.018
34	22.014	21.952	22.064	1412	294	0.05	0.00000	 V 			10.979	0.000	0.000	0.000	0.000	1.016
35	22.260	22.144	22.279	1398	247	0.06	0.00000	   			11.113	0.000	0.000	0.000	0.000	1.012
36	22.342	22.279	22.377	1637	333	0.05	0.00000	 V 			11.157	0.000	0.000	0.000	0.000	1.004
37	22.422	22.377	22.465	1131	287	0.04	0.00000	 V 			11.201	0.000	0.000	0.000	0.000	1.004
38	22.573	22.465	22.624	1348	179	0.08	0.00000	 V 			11.283	189498.749	0.000	0.000	0.000	1.007
39	22.721	22.624	22.773	1275	253	0.05	0.00000	 V 			11.364	410358.255	0.000	0.000	0.850	1.007
40	22.875	22.816	22.900	1341	378	0.04	0.00000	   			11.448	0.000	0.000	0.000	0.000	1.007
41	23.156	22.970	23.180	3832	363	0.11	0.00000	 V 			11.601	0.000	0.000	0.000	0.000	1.013
42	23.275	23.180	23.329	2983	466	0.06	0.00000	 V 			11.665	0.000	0.000	0.000	0.000	1.006
43	23.485	23.343	23.595	84152	32029	0.03	0.00000	   			11.780	2226005.233	0.000	1.340	0.000	1.010
44	23.613	23.595	23.651	2119	703	0.03	0.00000	 V 			11.849	0.000	0.000	0.000	0.000	1.006
45	23.674	23.651	23.707	1079	381	0.03	0.00000	 V 			11.882	0.000	0.000	0.000	0.000	1.003
46	23.903	23.707	23.931	1833	168	0.11	0.00000	 V 			12.007	161689.923	0.000	0.000	0.000	1.010
47	24.237	23.940	24.262	7473	703	0.11	0.00000	   			12.189	0.000	0.000	0.000	0.000	1.015
48	24.327	24.262	24.369	5549	1731	0.03	0.00000	 V 			12.238	1711602.482	0.000	0.000	0.000	1.004
49	24.617	24.369	24.640	5240	188	0.28	0.00000	 V 			12.395	0.000	0.000	0.000	0.000	1.013
50	24.715	24.654	24.733	1212	278	0.04	0.00000	   			12.449	1064446.019	0.000	0.000	0.000	1.004
51	25.133	25.084	25.209	98340	41524	0.02	0.00000	   			12.676	2629096.487	0.000	1.134	5.312	1.018
52	25.821	25.317	25.840	37685	2804	0.13	0.00000	   			13.050	0.000	0.000	0.000	0.000	1.030
53	25.913	25.840	25.975	59561	15482	0.04	0.00000	 V 			13.101	1482061.928	0.000	0.000	0.000	1.004
54	26.172	25.975	26.208	90728	8982	0.10	0.00000	 V 			13.242	0.000	0.000	0.000	0.000	1.011
55	26.664	26.208	26.726	494516	58825	0.08	0.00000	 V 			13.509	1504430.051	0.000	0.000	0.000	1.020
56	26.834	26.726	26.857	147207	19613	0.08	0.00000	 V 			13.602	0.000	0.000	0.000	0.000	1.007
57	26.988	26.857	27.002	166542	19531	0.09	0.00000	 V 			13.685	0.000	0.000	0.000	0.000	1.006
58	27.361	27.002	27.403	482664	21259	0.23	0.00000	 V 			13.888	0.000	0.000	0.000	0.000	1.015
59	27.437	27.403	27.477	90397	20353	0.04	0.00000	 V 			13.930	0.000	0.000	0.000	0.000	1.003
60	27.645	27.477	27.701	257892	19196	0.13	0.00000	 V 			14.043	0.000	0.000	0.000	0.000	1.008
61	27.762	27.701	27.785	94218	19263	0.05	0.00000	 V 			14.107	0.000	0.000	0.000	0.000	1.005
62	27.890	27.785	27.963	202650	19524	0.10	0.00000	 V 			14.176	0.000	0.000	0.000	0.000	1.005
63	28.005	27.963	28.061	100793	17382	0.06	0.00000	 V 			14.239	0.000	0.000	0.000	0.000	1.004
64	28.122	28.061	28.206	131989	15490	0.09	0.00000	 V 			14.302	0.000	0.000	0.000	0.000	1.004
65	28.355	28.206	28.378	142099	13674	0.10	0.00000	 V 			14.429	0.000	0.000	0.000	0.000	1.009
66	28.445	28.378	28.523	114669	14150	0.08	0.00000	 V 			14.479	0.000	0.000	0.000	0.000	1.003
67	28.593	28.523	28.668	97672	11773	0.08	0.00000	 V 			14.559	0.000	0.000	0.000	0.000	1.006
68	28.847	28.668	28.933	133515	8120	0.16	0.00000	 V 			14.697	0.000	0.000	0.000	0.000	1.010
69	29.118	28.933	29.200	82675	4895	0.17	0.00000	 V 			14.845	0.000	0.000	0.000	0.000	1.010
70	29.321	29.200	29.377	29983	2659	0.11	0.00000	 V 			14.955	0.000	0.000	0.000	0.000	1.007
71	29.447	29.377	29.531	9169	1138	0.08	0.00000	 V 			15.024	0.000	0.000	0.000	0.000	1.005
72	30.000	29.802	30.100	12872	1314	0.10	0.00000	   			15.325	144796.040	0.000	0.738	0.000	1.020
73	30.284	30.240	30.371	1206	352	0.03	0.00000	   			15.479	1542944.676	0.000	1.168	1.376	1.010
74	30.562	30.375	30.698	14076	1030	0.14	0.00000	   			15.631	0.000	0.000	0.000	0.000	1.010
75	30.783	30.698	31.043	32423	4411	0.07	0.00000	 V 			15.751	503106.676	0.000	0.000	0.000	1.008
76	31.354	31.253	31.533	10120	1724	0.06	0.00000	   			16.061	691174.967	0.000	1.348	3.526	1.020
77	32.419	32.289	32.555	5681	551	0.10	0.00000	   			16.641	181455.265	0.000	0.000	4.694	1.036
78	32.694	32.555	32.853	10548	904	0.12	0.00000	 V 			16.791	124034.010	0.000	0.000	0.814	1.009
79	33.792	33.708	33.913	2794	513	0.05	0.00000	   			17.388	775525.687	0.000	1.160	4.195	1.036
80	34.051	33.955	34.212	5137	581	0.09	0.00000	   			17.529	289337.715	0.000	1.427	1.280	1.008
81	40.792	40.572	41.114	70925	5839	0.12	0.00000	   			21.197	259303.763	0.000	1.161	23.564	1.209

[Compound Results (Ch1)]
# of IDs	25
ID#	Name	R.Time	Area	Height	Conc.	Curve	3rd	2nd	1st	Constant
1	Acetate_Sugars	4.779	4228	574	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
2	Sugars	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
3	Propionate_Sugars	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
4	Isobutyrate	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
5	Butyrate	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
6	Isovalerate	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
7	n-Valerate	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
