[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\MA-ACR-LB-2_20200721.gcd
Output Date	7/24/2020
Output Time	10:42:06 AM

[File Information]
Type	Data File
Generated	7/23/2020 6:02:59 PM
Generated by	Admin
Modified	7/23/2020 6:53:27 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	7/23/2020 6:09:51 PM
Type	Unknown
Level	1
Sample Name	MA-ACR-LB-2_20200721
Sample ID	MA-ACR-LB-2_20200721
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	8
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\MA-ACR-LB-2_20200721.gcd
Method File	C:\GCsolution\Data\Pfleger\Jonathan\20190412_Stabilwax_shortened_bake.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\gc_07-23-2020.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	88
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.713	1.690	1.736	1098	823	0.01	0.00000	   			0.000	37655.696	0.000	0.000	0.000	0.000
2	1.838	1.736	1.928	727368120	417468966	0.02	0.00000	 V 			0.073	28115.997	0.000	1.151	3.154	0.000
3	1.962	1.928	2.054	119913815	68447154	0.02	0.00000	 V 			0.145	30230.657	0.000	1.299	2.805	2.000
4	2.087	2.054	5.133	5465160	2275475	0.02	0.00000	SV 			0.218	23224.756	0.000	0.000	2.499	1.500
5	3.995	3.911	4.672	102164	14149	0.07	0.00000	T  	23	Lactic Acid	1.331	10520.430	0.000	2.925	18.167	6.107
6	4.785	4.672	4.998	3137	449	0.07	0.00000	TV 	1	Acetate_Sugars	1.793	12440.065	0.000	1.399	4.843	1.347
7	5.674	5.563	6.314	36667	3263	0.11	0.00000	   	3	Propionate_Sugars	2.312	7973.882	0.000	3.376	4.187	1.289
8	10.323	10.080	10.440	38899	2912	0.13	0.00000	   	25	Lactic Acid	5.024	0.000	0.000	0.000	0.000	2.174
9	10.617	10.440	10.682	66886	5761	0.12	0.00000	 V 	13	Sugars	5.196	0.000	0.000	0.000	0.000	1.034
10	10.880	10.682	11.289	657569	24897	0.26	0.00000	 V 	13	Sugars	5.349	0.000	0.000	0.000	0.000	1.030
11	11.555	11.289	12.386	2249418	71686	0.31	0.00000	 V 	14	Sugars	5.744	2872.939	0.000	0.000	0.000	1.074
12	13.152	12.386	16.707	589432844	28362771	0.21	0.00000	SV 			6.676	8633.858	0.000	0.528	2.242	1.162
13	14.183	14.009	14.304	26682	3335	0.08	0.00000	T  			7.278	67214.907	0.000	0.000	2.635	1.090
14	14.345	14.304	14.462	4730	798	0.06	0.00000	TV 			7.372	0.000	0.000	0.000	0.000	1.013
15	14.618	14.509	14.784	46174	7094	0.07	0.00000	T  			7.531	130795.117	0.000	0.000	0.000	1.022
16	15.037	14.784	15.223	7084	252	0.28	0.00000	TV 			7.776	51355.374	0.000	2.753	1.971	1.033
17	15.387	15.297	15.470	8189	1361	0.06	0.00000	T  			7.980	134274.013	0.000	0.000	1.616	1.026
18	15.498	15.470	15.563	3047	671	0.05	0.00000	TV 			8.045	0.000	0.000	0.000	0.000	1.008
19	15.640	15.563	15.774	6294	1008	0.06	0.00000	TV 			8.128	135563.235	0.000	0.000	0.000	1.010
20	16.201	16.114	16.352	1403	250	0.06	0.00000	T  			8.455	206312.338	0.000	1.236	3.594	1.040
21	17.365	17.299	17.622	80022	24202	0.03	0.00000	   			9.134	880792.993	0.000	1.875	10.776	1.080
22	17.689	17.622	17.785	2413	436	0.06	0.00000	 V 			9.324	228771.380	0.000	0.000	2.933	1.021
23	17.911	17.855	17.976	1222	214	0.06	0.00000	   			9.453	0.000	0.000	0.000	0.000	1.014
24	18.014	17.976	18.055	1215	345	0.04	0.00000	 V 			9.513	409781.877	0.000	0.000	0.000	1.006
25	18.093	18.055	18.149	1303	394	0.03	0.00000	 V 			9.559	606486.267	0.000	0.000	0.776	1.005
26	18.214	18.149	18.303	6485	1626	0.04	0.00000	 V 			9.630	555860.309	0.000	0.000	1.269	1.007
27	18.499	18.392	18.578	1392	244	0.06	0.00000	 V 			9.796	351263.190	0.000	0.000	2.573	1.017
28	18.741	18.583	18.826	2257	342	0.07	0.00000	   			9.938	165291.193	0.000	0.757	1.570	1.014
29	18.929	18.826	18.998	3596	641	0.06	0.00000	   			10.047	0.000	0.000	0.000	0.000	1.011
30	19.029	18.998	19.115	1739	393	0.04	0.00000	 V 			10.106	0.000	0.000	0.000	0.000	1.006
31	19.427	19.311	19.474	1862	379	0.05	0.00000	   			10.338	0.000	0.000	0.000	0.000	1.023
32	19.693	19.637	21.490	103179	37134	0.03	0.00000	S  			10.493	1323959.317	0.000	1.889	0.000	1.015
33	20.070	19.997	20.165	1703	354	0.05	0.00000	T  			10.713	344940.856	0.000	1.052	3.690	1.021
34	20.403	20.337	20.566	9174	1856	0.05	0.00000	T  			10.908	511475.631	0.000	1.809	2.664	1.018
35	20.758	20.697	20.828	1190	279	0.04	0.00000	TV 			11.115	479376.446	0.000	0.000	3.037	1.019
36	21.074	20.968	21.103	1254	283	0.04	0.00000	TV 			11.299	0.000	0.000	0.000	0.000	1.017
37	21.343	21.177	21.392	2754	426	0.06	0.00000	T  			11.456	290112.490	0.000	0.000	0.000	1.014
38	21.702	21.504	22.134	104663	40730	0.03	0.00000	S  			11.666	1949605.480	0.000	1.280	3.264	1.018
39	22.019	21.948	22.069	1547	344	0.04	0.00000	TV 			11.851	380068.516	0.000	0.000	3.101	1.016
40	22.270	22.144	22.288	1848	297	0.06	0.00000	   			11.997	0.000	0.000	0.000	0.000	1.012
41	22.348	22.288	22.381	1931	430	0.04	0.00000	 V 			12.043	0.000	0.000	0.000	0.000	1.004
42	22.427	22.381	22.475	1433	362	0.04	0.00000	 V 			12.088	0.000	0.000	0.000	0.000	1.004
43	22.576	22.475	22.619	1389	216	0.06	0.00000	 V 			12.175	233775.025	0.000	0.000	0.000	1.007
44	22.722	22.619	22.773	1458	304	0.05	0.00000	 V 			12.261	402650.045	0.000	0.776	0.890	1.007
45	22.878	22.820	22.909	1606	455	0.04	0.00000	   			12.352	0.000	0.000	0.000	0.000	1.007
46	23.035	22.974	23.054	1315	393	0.03	0.00000	 V 			12.443	0.000	0.000	0.000	0.000	1.007
47	23.166	23.054	23.189	3424	530	0.06	0.00000	 V 			12.520	0.000	0.000	0.000	0.000	1.006
48	23.280	23.189	23.338	4256	669	0.06	0.00000	 V 			12.586	0.000	0.000	0.000	0.000	1.005
49	23.493	23.348	23.604	90265	33914	0.03	0.00000	   			12.711	2249591.034	0.000	1.379	0.000	1.010
50	23.618	23.604	23.651	1912	766	0.02	0.00000	 V 			12.784	0.000	0.000	0.000	0.000	1.006
51	23.677	23.651	23.712	1276	425	0.03	0.00000	 V 			12.818	0.000	0.000	0.000	0.000	1.003
52	23.906	23.712	23.936	2219	226	0.10	0.00000	 V 			12.952	190105.048	0.000	0.000	0.000	1.010
53	24.333	24.015	24.379	10482	1758	0.06	0.00000	 V 			13.201	1993231.172	0.000	0.573	2.972	1.019
54	25.140	25.088	25.228	103447	43484	0.02	0.00000	   			13.672	2657167.914	0.000	1.144	12.387	1.036
55	25.457	25.322	25.490	13515	1889	0.07	0.00000	   			13.857	0.000	0.000	0.000	0.000	1.014
56	25.920	25.490	25.975	117428	16562	0.07	0.00000	 V 			14.127	1131644.774	0.000	0.000	0.000	1.020
57	26.181	25.975	26.213	121273	10744	0.11	0.00000	 V 			14.280	0.000	0.000	0.000	0.000	1.011
58	26.670	26.213	26.731	604853	65061	0.09	0.00000	 V 			14.565	1407260.952	0.000	0.000	0.000	1.020
59	26.848	26.731	26.890	218846	24094	0.09	0.00000	 V 			14.669	0.000	0.000	0.000	0.000	1.007
60	26.992	26.890	27.015	177669	23794	0.07	0.00000	 V 			14.753	0.000	0.000	0.000	0.000	1.006
61	27.109	27.015	27.137	173536	24133	0.07	0.00000	 V 			14.821	0.000	0.000	0.000	0.000	1.005
62	27.360	27.137	27.482	506412	25956	0.20	0.00000	 V 			14.968	0.000	0.000	0.000	0.000	1.010
63	27.644	27.482	27.715	326710	23632	0.14	0.00000	 V 			15.134	0.000	0.000	0.000	0.000	1.011
64	27.913	27.715	27.977	365123	24138	0.15	0.00000	 V 			15.290	0.000	0.000	0.000	0.000	1.010
65	28.033	27.977	28.093	150074	21645	0.07	0.00000	 V 			15.360	0.000	0.000	0.000	0.000	1.005
66	28.150	28.093	28.201	125207	19579	0.06	0.00000	 V 			15.428	0.000	0.000	0.000	0.000	1.004
67	28.369	28.201	28.392	205278	17710	0.12	0.00000	 V 			15.556	0.000	0.000	0.000	0.000	1.008
68	28.464	28.392	28.514	125173	17592	0.07	0.00000	 V 			15.612	0.000	0.000	0.000	0.000	1.004
69	28.598	28.514	28.686	160125	16046	0.10	0.00000	 V 			15.690	0.000	0.000	0.000	0.000	1.005
70	28.755	28.686	28.822	105909	13312	0.08	0.00000	 V 			15.782	0.000	0.000	0.000	0.000	1.006
71	28.858	28.822	28.943	81519	11778	0.07	0.00000	 V 			15.842	0.000	0.000	0.000	0.000	1.004
72	29.119	28.943	29.209	141442	8713	0.16	0.00000	 V 			15.994	0.000	0.000	0.000	0.000	1.010
73	29.335	29.209	29.368	59893	5983	0.10	0.00000	 V 			16.120	0.000	0.000	0.000	0.000	1.008
74	29.442	29.368	29.503	37820	4718	0.08	0.00000	 V 			16.183	0.000	0.000	0.000	0.000	1.004
75	29.610	29.503	29.732	31073	2758	0.11	0.00000	 V 			16.281	0.000	0.000	0.000	0.000	1.006
76	29.986	29.825	30.119	19092	1893	0.10	0.00000	   			16.500	183605.730	0.000	0.000	0.000	1.013
77	30.186	30.119	30.254	6551	1047	0.06	0.00000	 V 			16.617	0.000	0.000	0.000	0.000	1.007
78	30.305	30.254	30.390	3702	718	0.05	0.00000	 V 			16.687	0.000	0.000	0.000	0.000	1.004
79	30.604	30.390	30.730	19598	1299	0.15	0.00000	   			16.861	0.000	0.000	0.000	0.000	1.010
80	30.815	30.730	31.024	28644	3424	0.08	0.00000	 V 			16.984	386499.126	0.000	0.000	0.000	1.007
81	31.171	31.080	31.258	2379	412	0.06	0.00000	   			17.192	489795.997	0.000	0.946	1.896	1.012
82	31.384	31.318	31.453	1572	433	0.04	0.00000	   			17.316	1514901.718	0.000	0.933	1.524	1.007
83	32.681	32.564	32.910	7650	664	0.12	0.00000	   			18.073	166292.237	0.000	1.434	6.156	1.044
84	33.822	33.764	33.927	1789	389	0.05	0.00000	   			18.739	1058760.103	0.000	1.025	5.060	1.037
85	34.115	34.011	34.249	4986	706	0.07	0.00000	   			18.910	372203.487	0.000	1.105	1.655	1.009
86	38.946	38.831	38.999	2451	355	0.07	0.00000	   			21.729	496705.964	0.000	0.000	21.783	1.149
87	39.060	38.999	39.130	1134	273	0.04	0.00000	 V 			21.796	0.000	0.000	0.000	0.000	1.003
88	40.835	40.586	41.254	80680	6144	0.13	0.00000	S  			22.832	241080.720	0.000	1.086	0.000	1.048

[Compound Results (Ch1)]
# of IDs	25
ID#	Name	R.Time	Area	Height	Conc.	Curve	3rd	2nd	1st	Constant
1	Acetate_Sugars	4.785	3137	449	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
2	Sugars	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
3	Propionate_Sugars	5.674	36667	3263	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
4	Isobutyrate	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
5	Butyrate	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
6	Isovalerate	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
7	n-Valerate	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
8	Isocaproic	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
9	n-Caproic_Sugars	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
10	Heptanoic	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
11	Sugars	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
12	Sugars	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
13	Sugars	10.880	724455	30658	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
14	Sugars	11.555	2249418	71686	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
15	Xylose	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
16	Xylose	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
17	Xylose	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
18	Xylose	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
19	Xylose	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
20	Xylose	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
21	Xylose	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
22	Lactic Acid	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
23	Lactic Acid	3.995	102164	14149	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
24	Lactic Acid	0.000	0	0	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	
25	Lactic Acid	10.323	38899	2912	0.00000	Default	0.0000000	0.0000000	0.0000000	0.0000000	

[Group Results (Ch1)]
# of Groups	0

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	65370
Start Time(min)	0.000
End Time(min)	43.580
R.Time	Intensity
0.00017	-290
0.00083	-291
0.00150	-291
0.00217	-291
0.00283	-291
0.00350	-291
0.00417	-291
0.00483	-291
0.00550	-290
0.00617	-290
0.00683	-289
0.00750	-288
0.00817	-287
0.00883	-286
0.00950	-285
0.01017	-285
0.01083	-284
0.01150	-284
0.01217	-284
0.01283	-283
0.01350	-283
0.01417	-283
0.01483	-283
0.01550	-283
0.01617	-283
0.01683	-283
0.01750	-283
0.01817	-283
0.01883	-282
0.01950	-282
0.02017	-282
0.02083	-282
0.02150	-282
0.02217	-282
0.02283	-282
0.02350	-282
0.02417	-283
0.02483	-283
0.02550	-283
0.02617	-282
0.02683	-282
0.02750	-282
0.02817	-282
0.02883	-282
0.02950	-282
0.03017	-282
0.03083	-282
0.03150	-282
0.03217	-282
0.03283	-282
0.03350	-283
0.03417	-283
0.03483	-284
0.03550	-285
0.03617	-285
0.03683	-285
0.03750	-285
0.03817	-284
0.03883	-284
0.03950	-284
0.04017	-284
0.04083	-284
0.04150	-284
0.04217	-283
0.04283	-283
0.04350	-283
0.04417	-283
0.04483	-283
0.04550	-283
0.04617	-283
0.04683	-283
0.04750	-283
0.04817	-283
0.04883	-283
0.04950	-283
0.05017	-283
0.05083	-282
0.05150	-282
0.05217	-282
0.05283	-281
0.05350	-281
0.05417	-281
0.05483	-281
0.05550	-281
0.05617	-281
0.05683	-281
0.05750	-281
0.05817	-280
0.05883	-280
0.05950	-280
0.06017	-280
0.06083	-280
0.06150	-280
0.06217	-280
0.06283	-280
0.06350	-280
0.06417	-280
0.06483	-280
0.06550	-280
0.06617	-281
0.06683	-281
0.06750	-281
0.06817	-281
0.06883	-281
0.06950	-281
0.07017	-281
0.07083	-281
0.07150	-281
0.07217	-281
0.07283	-282
0.07350	-282
