[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\MA-ACR_20200723.gcd
Output Date	7/24/2020
Output Time	10:42:10 AM

[File Information]
Type	Data File
Generated	7/24/2020 1:20:07 AM
Generated by	Admin
Modified	7/24/2020 2:10:36 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	7/24/2020 1:26:58 AM
Type	Unknown
Level	1
Sample Name	MA-ACR_20200723
Sample ID	MA-ACR_20200723
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	15
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\MA-ACR_20200723.gcd
Method File	C:\GCsolution\Data\Pfleger\Jonathan\20190412_Stabilwax_shortened_bake.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\gc_07-23-2020.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	81
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.838	1.736	1.928	766281939	440698197	0.02	0.00000	 V 			0.000	28110.898	0.000	1.150	0.000	0.000
2	1.962	1.928	2.049	126746260	72122028	0.02	0.00000	 V 			0.068	30102.353	0.000	1.301	2.796	0.000
3	2.086	2.049	3.804	5707463	2410171	0.02	0.00000	SV 			0.135	23352.367	0.000	0.000	2.496	2.001
4	3.361	3.333	3.445	1020	195	0.05	0.00000	T  	15	Xylose	0.829	0.000	0.000	0.000	0.000	6.133
5	3.486	3.445	3.785	1484	151	0.10	0.00000	TV 	15	Xylose	0.897	0.000	0.000	0.000	0.000	1.082
6	4.000	3.911	4.635	73004	9516	0.08	0.00000	   	23	Lactic Acid	1.176	9157.706	0.000	2.860	0.000	1.311
7	4.780	4.686	4.980	3425	523	0.07	0.00000	   	1	Acetate_Sugars	1.601	13030.738	0.000	1.503	4.675	1.361
8	5.636	5.535	6.455	60371	5499	0.11	0.00000	   	3	Propionate_Sugars	2.067	8879.275	0.000	3.941	4.219	1.291
9	10.308	10.067	10.426	39268	3007	0.13	0.00000	   	25	Lactic Acid	4.609	0.000	0.000	0.000	0.000	2.230
10	10.602	10.426	10.673	67019	5703	0.12	0.00000	 V 	13	Sugars	4.769	0.000	0.000	0.000	0.000	1.035
11	10.865	10.673	11.280	631200	24812	0.25	0.00000	 V 	13	Sugars	4.912	3007.466	0.000	0.000	0.000	1.030
12	11.544	11.280	12.377	2097234	71810	0.29	0.00000	 V 	14	Sugars	5.281	3372.905	0.000	0.000	0.858	1.075
