[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\MAB-ACR-2_20200723.gcd
Output Date	7/24/2020
Output Time	10:42:12 AM

[File Information]
Type	Data File
Generated	7/24/2020 4:42:07 AM
Generated by	Admin
Modified	7/24/2020 5:32:38 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	7/24/2020 4:49:01 AM
Type	Unknown
Level	1
Sample Name	MAB-ACR-2_20200723
Sample ID	MAB-ACR-2_20200723
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	19
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\MAB-ACR-2_20200723.gcd
Method File	C:\GCsolution\Data\Pfleger\Jonathan\20190412_Stabilwax_shortened_bake.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\gc_07-23-2020.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	80
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.714	1.694	1.736	1082	816	0.01	0.00000	   			0.000	38276.658	0.000	0.000	0.000	0.000
2	1.838	1.736	1.928	765362461	439461223	0.02	0.00000	 V 			0.072	28108.859	0.000	1.153	3.154	0.000
3	1.962	1.928	2.049	126670260	72119718	0.02	0.00000	 V 			0.145	30134.966	0.000	1.302	2.794	2.000
4	2.086	2.049	5.176	5913627	2415485	0.02	0.00000	SV 			0.217	23223.549	0.000	0.000	2.489	1.500
5	4.001	3.902	4.657	65117	8362	0.08	0.00000	T  	23	Lactic Acid	1.335	8797.469	0.000	2.837	17.039	6.145
6	4.778	4.676	5.082	4096	588	0.07	0.00000	T  	1	Acetate_Sugars	1.788	12455.443	0.000	1.651	4.558	1.340
7	10.303	10.066	10.426	40669	3048	0.13	0.00000	   	25	Lactic Acid	5.012	0.000	0.000	0.000	0.000	2.803
8	10.592	10.426	10.673	68809	5793	0.12	0.00000	 V 	25	Lactic Acid	5.181	0.000	0.000	0.000	0.000	1.034
9	10.867	10.673	11.270	635036	25142	0.25	0.00000	 V 	13	Sugars	5.341	3008.515	0.000	0.000	0.000	1.031
10	11.534	11.270	12.371	2137016	72657	0.29	0.00000	 V 	14	Sugars	5.730	3335.239	0.000	0.000	0.840	1.073
11	13.116	12.371	17.085	541193467	26983158	0.20	0.00000	SV 			6.653	9213.215	0.000	0.529	2.358	1.161
12	14.099	14.005	14.117	6042	1542	0.04	0.00000	T  			7.228	0.000	0.000	0.000	0.000	1.086
13	14.174	14.117	14.290	18533	3007	0.06	0.00000	TV 			7.271	0.000	0.000	0.000	0.000	1.006
14	14.323	14.290	14.444	4820	771	0.06	0.00000	TV 			7.358	0.000	0.000	0.000	0.000	1.012
15	14.599	14.444	14.948	57793	7990	0.07	0.00000	TV 			7.519	133250.580	0.000	1.991	0.000	1.022
16	15.369	15.288	15.456	7325	1281	0.06	0.00000	T  			7.969	158787.405	0.000	0.000	4.917	1.060
17	15.484	15.456	15.550	2615	600	0.04	0.00000	TV 			8.036	0.000	0.000	0.000	0.000	1.008
18	15.620	15.550	15.750	5434	885	0.06	0.00000	TV 			8.115	142586.397	0.000	0.000	0.000	1.010
19	16.183	16.124	16.334	1283	226	0.06	0.00000	T  			8.444	205385.741	0.000	1.701	3.661	1.040
20	17.357	17.281	17.771	74067	21910	0.03	0.00000	S  			9.128	862077.345	0.000	1.902	10.814	1.081
21	17.917	17.846	17.967	1170	225	0.05	0.00000	   			9.455	0.000	0.000	0.000	0.000	1.036
22	18.003	17.967	18.046	1131	327	0.03	0.00000	 V 			9.505	368711.991	0.000	0.000	0.000	1.005
23	18.083	18.046	18.140	1247	364	0.03	0.00000	 V 			9.552	532669.880	0.000	0.000	0.737	1.005
24	18.203	18.140	18.294	5872	1425	0.04	0.00000	 V 			9.622	542274.501	0.000	0.000	1.221	1.007
25	18.487	18.415	18.564	1122	213	0.05	0.00000	 V 			9.788	320465.030	0.000	0.000	2.480	1.017
