[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\blank_20200721.gcd
Output Date	7/24/2020
Output Time	10:42:05 AM

[File Information]
Type	Data File
Generated	7/23/2020 5:12:30 PM
Generated by	Admin
Modified	7/23/2020 6:02:58 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	7/23/2020 5:19:19 PM
Type	Unknown
Level	1
Sample Name	blank_20200721
Sample ID	blank_20200721
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	7
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\blank_20200721.gcd
Method File	C:\GCsolution\Data\Pfleger\Jonathan\20190412_Stabilwax_shortened_bake.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\gc_07-23-2020.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	95
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.713	1.694	1.736	1029	778	0.01	0.00000	   			0.000	39185.503	0.000	0.000	0.000	0.000
2	1.837	1.736	1.928	789183603	456546067	0.02	0.00000	 V 			0.073	28467.825	0.000	1.143	3.197	0.000
3	1.962	1.928	2.049	131061640	75270363	0.02	0.00000	 V 			0.145	30717.327	0.000	1.294	2.828	2.000
4	2.087	2.049	5.255	6058616	2478773	0.02	0.00000	SV 			0.218	23506.280	0.000	0.000	2.517	1.500
5	3.368	3.323	3.458	3664	581	0.06	0.00000	T  	15	Xylose	0.966	0.000	0.000	0.000	0.000	4.428
6	3.479	3.458	3.916	9411	543	0.17	0.00000	TV 	15	Xylose	1.031	0.000	0.000	0.000	0.000	1.067
7	4.006	3.916	4.662	71570	8825	0.08	0.00000	TV 	23	Lactic Acid	1.339	8828.997	0.000	2.939	0.000	1.299
8	4.781	4.662	5.055	4655	624	0.07	0.00000	TV 	1	Acetate_Sugars	1.791	11912.327	0.000	0.000	4.494	1.338
9	5.662	5.572	6.487	45621	4046	0.11	0.00000	   	3	Propionate_Sugars	2.306	8417.716	0.000	3.739	4.189	1.287
10	9.346	9.156	9.530	2990	233	0.13	0.00000	   	24	Lactic Acid	4.456	10748.045	0.000	0.995	12.159	1.933
11	10.313	10.085	10.445	41060	3053	0.13	0.00000	   	25	Lactic Acid	5.021	0.000	0.000	0.000	0.000	1.127
12	10.614	10.445	10.682	65204	5713	0.11	0.00000	 V 	13	Sugars	5.196	0.000	0.000	0.000	0.000	1.035
