[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\evens.gcd
Output Date	7/24/2020
Output Time	10:42:03 AM

[File Information]
Type	Data File
Generated	7/23/2020 1:50:38 PM
Generated by	Admin
Modified	7/23/2020 2:41:03 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	7/23/2020 1:57:26 PM
Type	Unknown
Level	1
Sample Name	evens
Sample ID	evens
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	3
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\evens.gcd
Method File	C:\GCsolution\Data\Pfleger\Jonathan\20190412_Stabilwax_shortened_bake.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\gc_07-23-2020.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	87
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.836	1.732	1.923	1069172578	625722854	0.02	0.00000	 V 			0.000	28885.320	0.000	1.114	0.000	0.000
2	1.962	1.923	2.049	182885750	108344589	0.02	0.00000	 V 			0.068	32996.763	0.000	1.258	2.902	0.000
3	2.086	2.049	3.823	7904313	3516240	0.02	0.00000	SV 			0.136	26025.416	0.000	1.149	2.627	1.994
4	3.360	3.328	3.449	1482	283	0.05	0.00000	T  	15	Xylose	0.830	0.000	0.000	0.000	0.000	6.108
5	3.482	3.449	3.706	1518	210	0.07	0.00000	TV 	15	Xylose	0.896	0.000	0.000	0.000	0.000	1.080
6	3.900	3.823	6.651	60143289	17041300	0.04	0.00000	SV 	23	Lactic Acid	1.124	28759.164	0.000	0.994	0.000	1.254
7	5.696	5.601	6.156	17444	1670	0.10	0.00000	T  	3	Propionate_Sugars	2.102	8183.720	0.000	2.637	10.472	1.870
8	8.399	8.284	8.615	1681	178	0.09	0.00000	   	19	Xylose	3.573	16657.925	0.000	1.366	10.583	1.700
9	11.435	11.308	12.867	1080384	140146	0.08	0.00000	S  	14	Sugars	5.227	85655.028	0.000	3.028	14.617	1.463
10	14.779	14.710	14.939	1118	201	0.06	0.00000	   			7.047	168264.495	0.000	1.581	22.318	1.348
11	15.194	15.116	15.354	2893	719	0.04	0.00000	   			7.274	387286.604	0.000	1.613	3.446	1.032
12	15.530	15.485	15.662	1021	246	0.04	0.00000	 V 			7.457	370554.269	0.000	0.000	3.376	1.025
13	15.939	15.872	17.039	1345597	424591	0.03	0.00000	S  			7.679	793438.051	0.000	1.787	4.716	1.030
14	16.528	16.488	16.749	2146	622	0.03	0.00000	T  			8.000	672191.210	0.000	1.867	7.766	1.042
15	17.768	17.687	17.860	5004	1152	0.04	0.00000	 V 			8.675	587407.300	0.000	0.000	14.341	1.084
16	17.902	17.860	17.963	1018	210	0.05	0.00000	 V 			8.748	0.000	0.000	0.000	0.000	1.008
17	18.129	17.963	18.191	2153	393	0.05	0.00000	 V 			8.872	262406.053	0.000	0.000	0.000	1.014
18	18.590	18.523	19.092	1587593	630084	0.03	0.00000	S  			9.123	1477290.411	0.000	1.367	4.559	1.028
19	19.479	19.325	19.540	1289	152	0.08	0.00000	   			9.607	77463.117	0.000	0.000	5.228	1.053
20	19.711	19.647	19.797	1178	369	0.03	0.00000	 V 			9.733	1304710.376	0.000	1.304	1.331	1.013
21	19.955	19.871	19.988	1257	304	0.04	0.00000	   			9.866	0.000	0.000	0.000	0.000	1.014
22	20.084	20.039	20.165	1063	228	0.05	0.00000	 V 			9.936	0.000	0.000	0.000	0.000	1.007
23	20.348	20.184	20.464	8646	1527	0.06	0.00000	   			10.080	451828.400	0.000	0.000	0.000	1.014
24	20.727	20.646	22.471	1580371	661442	0.02	0.00000	SV 			10.286	1836491.121	0.000	1.215	4.175	1.021
25	21.009	20.977	21.052	1407	704	0.02	0.00000	T  			10.440	2336525.788	0.000	1.092	4.863	1.015
