Chimera,Name if cloned,Round attempted
11233113,ACR-21,r1
21223131,ACR-22,r1
23133111,ACR-1C,r1
13222113,ACR-23,r1
31213123,ACR-24,r1
12223312,ACR-1F,r1
13133123,ACR-1G,r1
11232121,ACR-1H,r1
33221113,ACR-1I,r1
23233112,ACR-25,r1
32311123,ACR-2A,r2
32322311,ACR-2B,r2
31112322,ACR-26,r2
32222122,ACR2-D,r2
33233311,ACR-27,r2
32111311,ACR-28,r2
32331332,ACR-29,r2
31131131,ACR-30,r2
32333132,ACR-31,r2
32313131,ACR-32,r2
23311321,ACR-33,r3
13231123,ACR-3B,r3
23132331,ACR-34,r3
12213121,ACR-35,r3
11223321,ACR-36,r3
21233321,ACR-37,r3
11233321,ACR-38,r3
21223121,ACR-3H,r3
11213121,ACR-39,r3
11223121,ACR-3J,r3
23222122,ACR-40,r4
21222122,ACR-4C?,r4
13111112,ACR-41,r4
11112113,ACR-4E,r4
11212111,ACR-42,r4
33232333,ACR-43,r4
21222322,ACR-4H?,r4
11122111,ACR-44,r4
11111312,ACR-4J,r4
22222112,ACR-5A,r5
22222312,ACR-5B,r5
22122122,ACR-5C,r5
11112112,ACR-5D,r4 and r5
12222122,ACR-5E,r5
11211112,ACR-46,r5
11121112,ACR-45,r5
22212122,ACR-5H,r5
22232122,ACR-47,r5
21111112,ACR-48,r5
12111113,ACR-49,
22222132,ACR-50,
22222312,ACR-51,
12211111,ACR-52,
12222322,ACR-53,
11211113,ACR-54,
22222332,ACR-55,
13211111,ACR-56,
22212322,ACR-57,
11112131,ACR-58,
22222112,ACR-59,
13121111,ACR-60,
11221111,ACR-61,
21222122,ACR-62,
12222122,ACR-63,
11112112,ACR-64,
12111112,ACR-65,
23222322,ACR-66,
22212122,ACR-67,
23222132,ACR-68,
23222112,ACR-69,
22221112,ACR-70,
12222112,ACR-71,
21222112,ACR-72,
22122132,ACR-73,
13222122,ACR-74,
12222132,ACR-75,
21222132,ACR-76,
11222122,ACR-77,
13221312,ACR-78,
23122112,ACR-79,
23221112,ACR-80,
13232112,ACR-81,
23121112,ACR-82,
13221112,ACR-83,
11222112,ACR-84,
13222112,ACR-85,r9
13122112,ACR-86,r9
13121112,10A,
13222312,10C,
11221112,10H,
23211112,10I,
